team,location,target,unit,bin_start_incl,bin_end_notincl,value,type
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,0.860485943,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,1,6,0.139418206,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,6,11,9.58E-05,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,11,16,2.67E-08,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,16,21,5.38E-12,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,21,26,8.88E-16,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,0,1,0.676860406,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,0.320472448,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,6,11,0.002657661,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,11,16,9.46E-06,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,16,21,2.45E-08,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,21,26,5.38E-11,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,26,31,1.06E-13,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,31,36,2.22E-16,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,NA,NA,1,Point
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,0,1,0.962586314,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,1,6,0.03741297,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,6,11,7.17E-07,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,11,16,5.37E-12,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,0,1,0.982900993,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,1,6,0.017098964,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,6,11,4.23E-08,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,11,16,4.04E-14,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,0,1,0.977371042,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,1,6,0.022628843,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,6,11,1.16E-07,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,11,16,2.30E-13,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,0,1,0.989160929,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,1,6,0.010839063,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,6,11,8.26E-09,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,11,16,2.44E-15,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Bullock,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,0,1,0.972611413,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,1,6,0.027388357,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,6,11,2.31E-07,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,11,16,7.57E-13,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UCD,Alabama-Butler,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UCD,Alabama-Calhoun,Total WNV neuroinvasive disease cases,cases,0,1,0.917118682,Bin
UCD,Alabama-Calhoun,Total WNV neuroinvasive disease cases,cases,1,6,0.082867906,Bin
UCD,Alabama-Calhoun,Total WNV neuroinvasive disease cases,cases,6,11,1.34E-05,Bin
